,animal,hair,feathers,eggs,milk,airbourne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mammal
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mammal
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,other_invertebrate
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mammal
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mammal
76,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile
77,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,other_invertebrate
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,other_invertebrate
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mammal
85,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,other_invertebrate
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,amphibian
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mammal
97,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insect
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,other_invertebrate
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
